#####PROTAGONISTS#####
0,CHILDOFLIGHT,Child of Light,0,,,,Female
194,CANDIDGIRL2,Strategist,15,Battle - Rival.mp3,Gym Battle Victory.mp3,,Female,100
196,MYSTMAGE,Arrogant Scholar,15,Battle - Rival.mp3,,,Male,100
####ANTAGONISTS#############################################################################
98,TEAMXEN_M1,Deathwing,4,Battle - Team Xen_1.mp3,,,Male,100
99,TEAMXEN_F1,Deathwing,4,Battle - Team Xen_1.mp3,,,Female,100
100,TEAMXEN_M,Team Xen,4,Battle - Team Xen.mp3,,,Male,90
101,TEAMXEN_F,Team Xen,4,Battle - Team Xen.mp3,,,Female,90
102,XENEXECUTIVE_1,Xen Executive,20,Battle - Xen Executives.mp3,,,Male,100
103,XENEXECUTIVE_2,Xen Executive,20,Battle - Xen Executives.mp3,,,Female,100
104,XENEXECUTIVE_3,Xen Executive,20,Battle - Xen Executives.mp3,,,Male,100
105,XENEXECUTIVE_4,Xen Executive,20,Battle - Xen Executives.mp3,,,Male,100
106,MISFORTUNATEDUO,Misfortunate Duo,13,Battle - Team Xen.mp3,,,Mixed,100
107,DNACLONE,DNA Clone,0,Battle - Mini Boss.mp3,,,Mixed,100
108,SERVANT,Servant,1,Battle - Intense.mp3,,,Female,100
109,SECURITYSYSTEM,Security Component,0,Battle - Intense.mp3,,,Male,100
110,DOCTOR,Doctor,15,,,,Male,100
111,HOOD,Mystery Girl,0,Battle - Xen Executives.mp3,,,Female,100
112,XENDICTATOR,Xen Dictator,30,Battle - Conclusive,,,Female,100
113,TEAMAA_F,Team Anti-Assist,6,Battle - Trainers2.mp3,,,Female,90
114,TEAMAA_M,Team Anti-Assist,6,Battle - Trainers2.mp3,,,Male,90
115,BLADESTAR_F,Bladestar,6,Battle - Machine.mp3,,,Female,90
116,BLADESTAR_M,Bladestar,6,Battle - Machine.mp3,,,Male,90
117,CAPTAIN,Captain,22,Battle - Xen Executives.mp3,,,Female,100
118,SURVIVOR,Survivor,0,Battle - Boss.mp3,,,Male,100
119,SPELUNKER_BLADEM,Spelunker Grunt,22,Battle - Intense.mp3,,,Male,100
120,PRISONGUARD,Prison Guard,12,Battle - Team Xen.mp3,,Team Galactic Battle Remix .mp3,Male,90
121,ANALYST,Xen Analyst,12,Battle - Team Xen_1.mp3,,Team Galactic Battle Remix .mp3,Female,100
122,DIMENSIONALRIFT,Dimensional Rift,0,Battle - Dimensional Rift.mp3,,,Mixed,100
124,RENEGADEM,Pyriah,1,Battle - Team Xen.mp3,,,Male,100
125,RENEGADEF,Pyriah,1,Battle - Team Xen.mp3,,,Female,100
126,FAITHFUL,Angie's Right Hand,22,Battle - Legendary.mp3,,,Female,100
127,HOOD1,Hooded Boy,22,Battle - Xen Executives.mp3,,,Male,100
128,BLADESTAR_F1,Bladestar Admin,16,Battle - Machine.mp3,,,Female,100
129,BLADESTAR_M1,Bladestar Admin,17,Battle - Machine.mp3,,,Male,100
153,UNKNOWN_1,???,20,Battle - Mysterious Figures.mp3,,,Male,100
154,UNKNOWN_2,???,20,Battle - Mysterious Figures.mp3,,,Female,100
155,RECO_F,Rejuv Co. Employee,10,RSE - Enemy Battle.mp3,,,Female,90
156,RECO_M,Rejuv Co. Employee,10,RSE - Enemy Battle.mp3,,,Female,90
163,ANGELOFDEATH,Angel of Death,0,Battle - Dimensional Rift.mp3,,,Female,100
170,ROGPSYCHIC,Rogue Psychic,0,,,,Female,100
175,GAUNTLET,Guardian Spector,0,Battle - Mini Boss.mp3,,,Mixed,100
187,MASKEDMAN,Masked Individual,0,Battle - Nightmare_1.mp3,,,Mixed,100
189,XENADMIN_1,Xen Admin,20,Battle - Xen Executives.mp3,,,Female,100
191,ROGUEHERO,Rogue Hero,20,Battle - Protector of Aevium.mp3,,,Female,100
192,LITTLEDEMON,Little Demon,15,,,,Female,100
195,ICESOLDIERS,Ice Soldiers,0,,,,Mixed,100
197,XENEXECUTIVE_5,Xen Executive,22,Battle - Xen Executives.mp3,,,Male,100
####GYMLEADERS#############################################################################
130,LEADER_VENAM,Punk Girl,19,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
131,LEADER_VENAM2,Punk Girl,24,Battle - Rival.mp3,,,Female,100
132,LEADER_KETA,Sensei,22,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
133,LEADER_KETA2,Sensei,0,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
134,LEADER_MARIANETTE,Child of Light,8,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
135,LEADER_NARCISSA,Actress,23,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
136,LEADER_VALARIE,Water Show Performer,22,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
137,LEADER_CRAWLI,Head Ranger,28,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Mixed,100
138,LEADER_CRAWLI2,International Police,30,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Mixed,100
139,LEADER_ANGIE,Faithful Servant,12,Battle - Angie.mp3,Gym Battle Victory.mp3,,Female,100
140,LEADER_TEXEN,Pseudo Sensei,6,Battle - Evil Gym.mp3,Gym Battle Victory.mp3,,Male,100
141,LEADER_AMBER,Music Enthusiast,15,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
186,LEADER_AMBER2,Music Enthusiast,68,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
142,LEADER_ERICK,Electrical Engineer,22,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
143,LEADER_FLORA,Botanist,16,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
144,LEADER_FLORIN,Botanist,16,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
145,LEADER_PUPPET1,Puppet Master,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
146,LEADER_PUPPET2,Puppet Master,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
147,LEADER_SOUTA,Spiritual Healer,10,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
148,LEADER_SPECTOR,Ghost Kid,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
149,LEADER_SAKI,Ultimate Engineer,30,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
150,LEADER_SAKI2,Ultimate Engineer,98,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
151,LEADER_RYLAND,Forgotten Prince,10,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
152,LEADER_LAVENDER,Psychologist,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
161,LEADER_ADAM,Aevium Sensation,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
162,LEADER_ADAM1,Ruin Maniac,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
190,ELITE_KAREN,Elite Eight,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
181,LEADER_ANGIE2,Faithful Servant,20,Battle - Angie.mp3,Gym Battle Victory.mp3,,Female,100
193,LEADER_DAMIEN,Ruin Maniac,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Male,100
198,ELITE_ALEXANDRA,Elite Eight,20,Battle - Gyms.mp3,Gym Battle Victory.mp3,,Female,100
300,JOHTO_1,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,7
301,JOHTO_2,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,14
302,JOHTO_3,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Female,21
303,JOHTO_4,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,28
304,JOHTO_5,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,35
305,JOHTO_6,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Female,42
306,JOHTO_7,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,49
307,JOHTO_8,Gym Leader,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Female,56
308,JOHTO_9,Elite Four,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,90
309,JOHTO_10,Elite Four,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,90
310,JOHTO_11,Elite Four,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,90
311,JOHTO_12,Elite Four,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Female,90
312,JOHTO_13,Champion,0,GSC - Gym Leader.mp3,Gym Battle Victory GS.mp3,,Male,100
#####################################################
900,RUINMANIAC,Ruin Maniac,48,,,,Male,,
901,POKEMANIAC,Poké Maniac,64,,,,Male,,
902,POKEMONBREEDER,Pokémon Breeder,48,,,,Female,,
903,JUGGLER,Juggler,32,,,,Male,,
904,GAMBLER,Gambler,72,,,,Male,32,
905,SUPERNERD,Super Nerd,48,,,,Male,,
906,TAMER,Tamer,40,,,,Male,,
907,SWIMMER_M,Swimmer,16,,,,Male,32,
908,SWIMMER_F,Swimmer,16,,,,Female,32,
909,TUBER_M,Tuber,4,,,,Male,16,
910,TUBER_F,Tuber,4,,,,Female,16,
911,TEAMROCKET_M,Team Rocket,32,,,,Male,,
912,TEAMROCKET_F,Team Rocket,32,,,,Female,,
913,PSYCHIC_M,Psychic,32,,,,Male,,
914,PSYCHIC_F,Psychic,32,,,,Female,,
915,TWINS,Twins,24,,,,Mixed,,
916,COOLCOUPLE,Cool Couple,72,,,,Mixed,48,
917,CRUSHKIN,Crush Kin,48,,,,Mixed,,
918,SISANDBRO,Sis and Bro,16,,,,Mixed,48,
919,BIKER,Biker,32,,,,Male,,
920,SAILOR,Sailor,32,,,,Male,
921,GENTLEMAN,Sailor,32,,,,Male,
